display_name,text_uuid,sentence_uuid,sentence_obj_in_text,translation,first_word_transcription,first_word_spelling,first_word_number,first_word_obj_in_text,line_number,side,column
 (Adana 237a) envelope,871e7671-e26b-4808-9acb-1c4a7e1ed2e6,f98879ad-d891-4602-8443-965baab6845d,3,Seal: trading station of Šalatiwar.,,KIŠIB,1,5,1.0,1,1
 (Adana 237s),09260971-37a9-4b91-aa30-ff59322598e5,e3444ecf-0276-4e5a-90cb-1e08e9d9f65e,3,From Imdī-ilum to Luzina and Puzur-Ištar:,,um-ma,1,5,1.0,1,1
 (HS 2931),a5abb045-e25a-469a-90b3-89a49091b7be,cb7f723d-6e52-454d-8ca2-50863cab81cb,10,"To the representatives Aššur-imittī, Imdī-ilum, and Buṣia from Idnāya.",qibima,qí-bi₄-ma,8,11,3.0,1,1
 (HS 2931),a5abb045-e25a-469a-90b3-89a49091b7be,5dc308e4-1033-4200-8b8b-6626d155539c,20,Ilī-uṣranni brings you 10 minas refined silver.,Ilī-uṣranni,ì-lí-uṣ-ra-ni,15,21,6.0,1,1
 (HS 2931),a5abb045-e25a-469a-90b3-89a49091b7be,49ae0d28-4916-4744-b316-607432f9b091,23,Weigh it out to the one you recorded as my guarantor.,ana,a-na,17,25,8.0,1,1
 (Kayseri 22),9b2f4308-d239-45da-ba91-0f4735c95545,124a7b08-3c57-4949-8e63-0c44f67a96e1,9,Innaya s. Amura gave Kurara s. Abu-šalim 5 minas refined silver as an ebuṭṭum loan.,ana,a-na,5,11,2.0,1,1
 (Kayseri 22),9b2f4308-d239-45da-ba91-0f4735c95545,059dfa01-e504-433d-8106-7edaf6560bbb,27,He will go and Innāya will not be considered equal with his investors in the tablet of his ebuṭṭum loan in the city.,illakma,i-lá-ak-ma,15,29,6.0,1,1
 (Kayseri 22),9b2f4308-d239-45da-ba91-0f4735c95545,94b98140-b07d-4895-9340-edf437ba2100,48,"Witnesses: Šū-Laban s. Dān-ilī, Bazia s. Ilī-Kurub.",maḫar,IGI,31,50,13.0,3,1
 (Kayseri 300),9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,33765d3a-7edb-4763-8c41-3c564b883121,9,Šamaš-bāni and Aššur-mālik owe Šāt-Adad 1 mina refined silver.,iṣṣēr,i-ṣé-er,5,11,2.0,1,1
 (Kayseri 300),9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,e516f266-c4a6-4641-a73a-41759fd63530,26,They will pay six weeks from the of Ikūn-piā.,išaqqulū,i-ša-qú-lu,18,27,8.0,1,1
 (Kayseri 300),9bdc7305-55f6-4d9b-8d11-fb1a07993ed4,223ba3f0-e1c3-4ac4-b391-a2d3173c1daf,36,"If they do not pay, they will add interest at the colony rate.",uṣṣubū,ú-ṣú-bu,26,37,12.0,1,1
 (Kayseri 303),25f3a0b1-7766-4c48-af4f-0d1e3da2115b,a394ca96-c0e0-4419-9bab-eb13f9b0f4a9,2,From Šalim-aḫum to Pūšu-kēn and Dān-Aššur:,umma,um-ma,1,4,1.0,1,1
 (Kayseri 303),25f3a0b1-7766-4c48-af4f-0d1e3da2115b,2c4ac849-e306-4a0d-9763-2fbadf24f6f2,15,"112 kutānum textiles, 18 minas hand tin, four black donkeys and their gear, 1 shekels silver for a textile  of saitim, the wage of the drivers satisfied-Idī-Suen brings all this to you (pl.) under my seal.",kutānū,(TÚG)ku-ta-nu,11,19,3.0,1,1
 (Kayseri 303),25f3a0b1-7766-4c48-af4f-0d1e3da2115b,eb0e501a-a7ab-4690-be7f-3be75358863a,52,"After these textiles, I will send you as much tin as I can ship, and my instructions will come to you.",warkat,wa-ar-kà-at,36,53,12.0,2,1
 (Kayseri 31),807d2a37-5ec2-46c4-9d94-e1228a852e97,e1a34bb7-b2a1-45e2-81f2-871695f561e9,27,"I handed over 56 shekels silver, the price of 4 kutānum textiles, at accountings for 20 minas for the account of Innāya s. Elālī.",aṭḫe,aṭ-ḫi,20,28,8.0,3,1
 (Kayseri 31),807d2a37-5ec2-46c4-9d94-e1228a852e97,90b5c407-0681-4515-ada0-b096c0ea4d70,30,Innāya s. Ammurāya is my witness.,Innā,i-na-a,21,32,8.0,3,1
 (Kayseri 31),807d2a37-5ec2-46c4-9d94-e1228a852e97,fe0621f8-3a74-492c-a116-677136868916,38,"Separately, I paid him 14 shekels silver, the price of 1 textile.",aḫamma,a-ḫa-ma,25,39,10.0,3,1
 (Kayseri 31),807d2a37-5ec2-46c4-9d94-e1228a852e97,2d04c61d-fe29-4d90-9672-d2ae03f32423,49,"In total, Innāya s. Elāli owes 1 mina 10 shekels.",ištēniš,ŠU.NÍGIN,33,50,13.0,3,1
 (Kayseri 316),b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,2f9eadb5-224b-4612-a0ff-f5967c86e5c6,3,Ḫalitka s. a-ra-wa-an- owes Lamassī 4 1/2 shekels silver within 3 months.,šiqil,GÍN,2,7,1.0,1,1
 (Kayseri 316),b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,dab733cc-984d-4f8b-83d8-9068fa392eca,23,Month: Maḫur-ilī,warḫem,ITU.KAM,13,25,7.0,1,1
 (Kayseri 316),b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,c5447c85-ac32-40a2-bddc-1878856395cc,27,Year: the year after Šū-Niraḫ,līmum,li-mu-um,15,29,9.0,1,1
 (Kayseri 316),b6dfff9d-542c-44ba-83ae-d7b8d5d39e69,243a3e54-87df-44e2-a79b-a3f337b06c9e,35,"Witnesses: Aššur-lamassī, Uzuwa, Inar, Ḫappi-aḫšu",maḫar,IGI,19,37,11.0,1,1
 (Kayseri 71),81e51288-2841-4552-b509-7a797fc49d61,689e96ec-ab48-4c45-9faf-2eb33b228d42,19,Kunaniya owes Lā-qēpum 1 mina 1 1/2 shekels silver (and) 4 minas fine ḫaburabayyum copper in pieces.,iṣṣēr,i-ṣé-er,13,21,6.0,1,1
 (Kayseri 71),81e51288-2841-4552-b509-7a797fc49d61,65f83adc-2669-429b-b646-e6d556973e9b,26,He will pay 5 months from the ḫamuštum week of Ikūnum and Puzur-Aššur.,ištu,iš-tù,17,28,9.0,1,1
